timestamp,latency_ms
2026-05-01 00:00:00,110.76
2026-05-01 01:00:00,125.4
2026-05-01 02:00:00,98.81
2026-05-01 03:00:00,131.19
2026-05-01 04:00:00,138.01
2026-05-01 05:00:00,115.66
2026-05-01 06:00:00,128.03
2026-05-01 07:00:00,125.51
2026-05-01 08:00:00,116.48
2026-05-01 09:00:00,109.93
2026-05-01 10:00:00,93.54
2026-05-01 11:00:00,141.75
2026-05-01 12:00:00,121.33
2026-05-01 13:00:00,157.31
2026-05-01 14:00:00,133.57
2026-05-01 15:00:00,125.89
2026-05-01 16:00:00,112.8
2026-05-01 17:00:00,141.49
2026-05-01 18:00:00,114.91
2026-05-01 19:00:00,143.98
2026-05-01 20:00:00,116.42
2026-05-01 21:00:00,124.6
2026-05-01 22:00:00,100.68
2026-05-01 23:00:00,154.81
2026-05-02 00:00:00,120.68
2026-05-02 01:00:00,116.61
2026-05-02 02:00:00,133.35
2026-05-02 03:00:00,109.52
2026-05-02 04:00:00,132.75
2026-05-02 05:00:00,105.6
2026-05-02 06:00:00,129.63
2026-05-02 07:00:00,107.38
2026-05-02 08:00:00,96.28
2026-05-02 09:00:00,113.69
2026-05-02 10:00:00,101.51
2026-05-02 11:00:00,129.75
2026-05-02 12:00:00,122.3
2026-05-02 13:00:00,129.13
2026-05-02 14:00:00,123.28
2026-05-02 15:00:00,117.05
2026-05-02 16:00:00,122.39
2026-05-02 17:00:00,136.73
2026-05-02 18:00:00,119.44
2026-05-02 19:00:00,111.33
2026-05-02 20:00:00,108.42
2026-05-02 21:00:00,118.9
2026-05-02 22:00:00,111.5
2026-05-02 23:00:00,148.33
